cd49bcf72db3a170ba3e3e01af224970bebb445b	docs: every measured figure comes from the file that produced it (hunch-34c)
0f3702cd20b381d8ef9e6e90d3e81cb9afc45d6e	test: a source-held-out set for the 0.9.x behaviours (hunch-hwt)
8ecc95e0525c5fb0e0ba9330b2b7d29da72ec351	docs: the guides state the fill finals rule the code applies (hunch-cpv)
0756af0fc390fef398e4197d9bb3ee1652962422	fix: file and dir markers always read their finalists (hunch-wka)
168bd87fe31eb3c860e4e2db5f6d02c40131f1a4	test: held-out evidence for the fill finals shortcut (hunch-ng2)
d8262e780792ae0c0f703301eb09ee9c439bba18	docs: the guides stop contradicting the code (hunch-v4r)
e5048ff20c76a7178ff87aa404305006028174e0	chore: beads after the round 9 P2 wave two
e4aa382ab9653bdd0256f2be96ec9acb24e1eb2e	fix: the deadline counts from the verb's start (hunch-yhr)
663b6ab659f98ecff6152d55569178d9f4be9c95	feat: round one is opt-in and reports the finals as sent (hunch-68n)
9876afc634488973c0297e5bc1a7619d3bd73ff8	docs: say what was measured and what was derived (hunch-d35)
07d773e342cd5c292ca2ff4b51bbd4179df3f0e0	chore: beads after the round 9 P2 wave
612fe0c7aca7758f400934eabc6d2c32747edd50	fix: a prefixed branch marker matches remote refs only (hunch-gp6)
f7985c648ed24b7a5d805847981d073338367172	fix: the why finals never exceed the backend window (hunch-4v2)
840924a49afc438f2435858fbabdde389d38b308	fix: a dropped record's no can be read from the gate (hunch-ytv)
e59f447da9d2aed3e840dbb93b67ab0c65b09630	chore: close release 0.9.3 (hunch-w5q)
38fa0ac6150b45c2055213ce52a81950b60bfd5d	chore: beads after review round 9 (hunch-w5q)
9258d1b422b8b4136724e72e4087c82b4fbfe318	chore: release 0.9.3 (hunch-w5q)
317cbf74ad0e688e014922e5a675adfeec9d76c4	fix: route abstains when two commands are too close (hunch-1zs)
ed37bd67fbc7b5857b54155d6fd2edecf234f8bb	chore: close release 0.9.2 (hunch-qce)
89cf5894ea69a8c42734e5683c7b2fc16caf6043	chore: beads before release 0.9.2 (hunch-qce)
a674c4fbfc0104f8718996ab597cc3802d07ad9f	chore: release 0.9.2 (hunch-qce)
f6c6f4ece87bd71c16b7c44bba710a97db97a25a	docs: the branch marker's two forms (hunch-zhh)
3f61bf7dc6c46cb175411055aef5e525be6e26c4	fix: a literal prefix scopes the branch kind (hunch-x4w)
f0e3c91412c69d28ad015e61dbc882c9c1d89668	fix: a file jevify cannot read is never judged by its name (hunch-3fj)
cc6e91bc0bbcbaff3d02bad82a0335444e775bb2	chore: beads after the enforced pilot (hunch-iu8)
